geometry,address
POINT (37.3315539 55.5032228),"улица Дмитрия Рябинкина, Ватутинки, поселение Десёновское, Москва, Центральный федеральный округ, 142793, Россия"
POINT (37.3769826 55.5223769),"Десна, поселение Десёновское, Москва, Центральный федеральный округ, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5554027 55.7228011),"Лужнецкий проезд, Лужники, район Хамовники, Москва, Центральный федеральный округ, 119048, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6540095 55.7471381),"Лыщиков переулок, Таганский район, Москва, Центральный федеральный округ, 109240, Россия"
POINT (37.3601822 55.5093596),"Армейская улица, поселение Десёновское, Москва, Центральный федеральный округ, 142793, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.6857779 55.8786339),"Магаданская улица, Лосиноостровский район, Москва, Центральный федеральный округ, 129345, Россия"
POINT (37.7118332 55.7820709),"Мажоров переулок, район Соколиная Гора, Москва, Центральный федеральный округ, 107023, Россия"
POINT (37.6409613 55.7539521),"Малый Ивановский переулок, Ивановская горка, Басманный район, Москва, Центральный федеральный округ, 109028, Россия"
POINT (37.3322966 55.5018085),"1-я Ватутинская улица, Ватутинки, поселение Десёновское, Москва, Центральный федеральный округ, 142793, Россия"
POINT (37.6735978 55.7425738),"Малая Андроньевская улица, Таганский район, Москва, Центральный федеральный округ, 109544, Россия"
POINT (37.4777283 55.7334906),"улица Пивченкова, район Фили-Давыдково, Москва, Центральный федеральный округ, 121108, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6376728 55.7906602),"Малая Переяславская улица, Мещанский район, Москва, Центральный федеральный округ, 129110, Россия"
POINT (37.2171164 55.3034918),"Ясенки, поселение Вороновское, Москва, Центральный федеральный округ, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6188311 55.7091612),"Малая Тульская улица, Даниловский район, Москва, Центральный федеральный округ, 115191, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.5930978 55.7460291),"Малый Власьевский переулок, 33, район Хамовники, Москва, Центральный федеральный округ, 121002, Россия"
POINT (37.6345132 55.7592102),"Малый Златоустинский переулок, Ивановская горка, Басманный район, Москва, Центральный федеральный округ, 101000, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.458879 55.6071946),"Институтский проезд, Мосрентген, поселение ""Мосрентген"", Москва, Центральный федеральный округ, 108820, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.7882246 55.7203597),"улица Паперника, Рязанский район, Москва, Центральный федеральный округ, 109456, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.746117 55.6749909),"проспект 40 лет Октября, район Люблино, Москва, Центральный федеральный округ, 109338, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.4473076 55.6728282),"Никулинская улица, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119361, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6105074 55.8593142),"проезд Якушкина, район Отрадное, Москва, Центральный федеральный округ, 127273, Россия"
POINT (37.6510788 55.7424567),"5-й Котельнический переулок, Таганский район, Москва, Центральный федеральный округ, 115172, Россия"
POINT (37.5212972 55.8397888),"проезд Черепановых, Коптево, Москва, район Коптево, Москва, Центральный федеральный округ, 125008, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.73586 55.6741168),"Егорьевский проезд, район Люблино, Москва, Центральный федеральный округ, 109382, Россия"
POINT (37.4530657 55.6858721),"проезд Стройкомбината, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6733794 55.7723165),"Елоховский проезд, Басманный район, Москва, Центральный федеральный округ, 105066, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.7786726 55.7037577),"Есенинский бульвар, район Кузьминки, Москва, Центральный федеральный округ, 109439, Россия"
POINT (37.6436323 55.7769345),"Живарев переулок, Красносельский район, Москва, Центральный федеральный округ, 129090, Россия"
POINT (37.7616206 55.7120138),"Жигулёвская улица, район Кузьминки, Москва, Центральный федеральный округ, 109457, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6430027 55.7223438),"Жуков проезд, Даниловский район, Москва, Центральный федеральный округ, 115280, Россия"
POINT (37.4537888 55.8492557),"проезд Досфлота, район Южное Тушино, Москва, Центральный федеральный округ, 125364, Россия"
POINT (37.4180861 55.8480826),"проезд Донелайтиса, район Южное Тушино, Москва, Центральный федеральный округ, 125459, Россия"
POINT (37.7824765 55.7895927),"Заводской проезд, район Измайлово, Москва, Центральный федеральный округ, 105043, Россия"
POINT (37.5978343 55.8098816),"проезд Добролюбова, Бутырский район, Москва, Центральный федеральный округ, 127474, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.796473 56.0073299),"Акулово, район Восточный, Москва, Центральный федеральный округ, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.7156225 55.8136162),"Глебовская улица, Богородское, район Богородское, Москва, Центральный федеральный округ, 107258, Россия"
POINT (37.6387427 55.7871523),"Глинистый переулок, Мещанский район, Москва, Центральный федеральный округ, 129110, Россия"
POINT (37.6104672 55.7633618),"Глинищевский переулок, 2, 50, Тверской район, Москва, Центральный федеральный округ, 125009, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5127744 55.6433006),"улица Академика Арцимовича, район Коньково, Москва, Центральный федеральный округ, 117437, Россия"
POINT (37.7074611 55.7759515),"Гольяновская улица, Басманный район, Москва, Центральный федеральный округ, 105094, Россия"
POINT (37.6471178 55.7391766),"Гончарная набережная, Таганский район, Москва, Центральный федеральный округ, 115172, Россия"
POINT (37.6177085 55.7147594),"Городская улица, Даниловский район, Москва, Центральный федеральный округ, 115162, Россия"
POINT (37.6875889 55.7706923),"Госпитальный переулок, Басманный район, Москва, Центральный федеральный округ, 105005, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.5279539 55.7920691),"улица Авиаконструктора Микояна, Ходынское поле, Хорошёвский район, Москва, Центральный федеральный округ, 125252, Россия"
POINT (37.6462476 55.7726007),"Докучаев переулок, Красносельский район, Москва, Центральный федеральный округ, 107078, Россия"
POINT (37.5911555 55.7595219),"Гранатный переулок, 47, Пресненский район, Москва, Центральный федеральный округ, 123001, Россия"
POINT (37.4350989 55.7204744),"Гродненская улица, Можайский, Москва, Можайский район, Москва, Центральный федеральный округ, 121471, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6268216 55.7212762),"улица Павла Андреева, район Замоскворечье, Москва, Центральный федеральный округ, 115093, Россия"
POINT (37.6036742 55.7687245),"Дегтярный переулок, 49, Тверской район, Москва, Центральный федеральный округ, 125009, Россия"
POINT (37.6116727 55.7743972),"Делегатская улица, Тверской район, Москва, Центральный федеральный округ, 127473, Россия"
POINT (37.586091 55.7459301),"Денежный переулок, район Арбат, Москва, Центральный федеральный округ, 119002, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (43.4933827 56.0975075),"Вознесенский переулок, Богородск, Богородский муниципальный округ, Нижегородская область, Приволжский федеральный округ, 607605, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.2603263 55.6082457),"Дивизионная улица, Внуково, район Внуково, Москва, Центральный федеральный округ, 111674, Россия"
POINT (37.6161179 55.7620559),"Дмитровский переулок, 18, 62, Тверской район, Москва, Центральный федеральный округ, 107031, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.8675719 55.817419),"улица 9 Мая, Восточный, Москва, Центральный федеральный округ, 105173, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.7731255 55.7286288),"Зарайская улица, Рязанский район, Москва, Центральный федеральный округ, 109428, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6193545 55.8113063),"Калибровская улица, Останкинский район, Москва, Центральный федеральный округ, 129075, Россия"
POINT (37.5921382 55.748533),"Калошин переулок, 35, район Арбат, Москва, Центральный федеральный округ, 119002, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.3581906 55.5957356),"улица Хабарова, Московский, поселение Московский, Москва, Центральный федеральный округ, 142784, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5347032 55.8936048),"Карельский бульвар, Дмитровский, Москва, Дмитровский район, Москва, Центральный федеральный округ, 127411, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.8538074 55.7060712),"Каскадная улица, район Косино-Ухтомский, Москва, Центральный федеральный округ, 111625, Россия"
POINT (37.4767436 55.5824187),"Газопровод, поселение Сосенское, Москва, Центральный федеральный округ, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.5094519 55.4979871),"Троицкая улица, СНТ «Рязаново», Остафьево, поселение Рязановское, Москва, Центральный федеральный округ, 117623, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.7328805 55.7780698),"Кирпичная улица, район Соколиная Гора, Москва, Центральный федеральный округ, 105679, Россия"
POINT (37.4870944 55.4996755),"Остафьево, поселение Рязановское, Москва, Центральный федеральный округ, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.7373771 55.7427856),"шоссе Фрезер, Карачарово, Нижегородский район, Москва, Центральный федеральный округ, 109202, Россия"
POINT (37.6453498 55.7311864),"Кожевнический проезд, район Замоскворечье, Москва, Центральный федеральный округ, 115114, Россия"
POINT (37.6088865 55.764657),"Козицкий переулок, 50, Тверской район, Москва, Центральный федеральный округ, 125009, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.2562921 55.6127113),"Интернациональная улица, Внуково, район Внуково, Москва, Центральный федеральный округ, 108817, Россия"
POINT (37.6219151 55.7645913),"Звонарский переулок, Мещанский район, Москва, Центральный федеральный округ, 107031, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5898204 55.7714292),"2-я Брестская улица, Тверской район, Москва, Центральный федеральный округ, 125047, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.6392293 55.8111959),"Зубарев переулок, Алексеевский район, Москва, Центральный федеральный округ, 129164, Россия"
POINT (37.6336281 55.6808561),"1-й Нагатинский проезд, район Нагатино-Садовники, Москва, Центральный федеральный округ, 115230, Россия"
POINT (37.5805965 55.6655351),"Зюзинская улица, район Черёмушки, Москва, Центральный федеральный округ, 117418, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.4690901 55.8157671),"Иваньковское шоссе, район Покровское-Стрешнево, Москва, Центральный федеральный округ, 125367, Россия"
POINT (37.3745515 55.4346583),"Шаганино, поселение Щаповское, Москва, Центральный федеральный округ, 142144, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.4513597 55.611192),"улица Адмирала Корнилова, поселение Сосенское, Москва, Центральный федеральный округ, 108820, Россия"
POINT (37.5190693 55.8889974),"Ижорский проезд, Дмитровский, Москва, Дмитровский район, Москва, Центральный федеральный округ, 125412, Россия"
POINT (37.6558126 55.7446327),"Известковый переулок, Таганский район, Москва, Центральный федеральный округ, 109004, Россия"
POINT (37.7755451 55.7915925),"Измайловская площадь, район Измайлово, Москва, Центральный федеральный округ, 105037, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.5433991 55.8859215),"Икшинская улица, Дмитровский, Москва, Дмитровский район, Москва, Центральный федеральный округ, 127411, Россия"
POINT (37.3556333 55.5789013),"Верхнее Валуево, поселение Филимонковское, Москва, Центральный федеральный округ, 142780, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6149529 55.7834685),"Институтский переулок, район Марьина Роща, Москва, Центральный федеральный округ, 127055, Россия"
POINT (37.2537452 55.6125219),"Изваринская улица, Внуково, район Внуково, Москва, Центральный федеральный округ, 111674, Россия"
POINT (37.5879616 55.7440761),"Глазовский переулок, район Хамовники, Москва, Центральный федеральный округ, 119002, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.6363492 55.7658564),"Тургеневская площадь, Красносельский район, Москва, Центральный федеральный округ, 101990, Россия"
POINT (37.6213348 55.7391073),"Пыжёвский переулок, район Якиманка, Москва, Центральный федеральный округ, 119017, Россия"
POINT (37.5418268 55.8628285),"Пяловская улица, район Западное Дегунино, Москва, Центральный федеральный округ, 125504, Россия"
POINT (37.584563 55.7477997),"Троилинский переулок, район Арбат, Москва, Центральный федеральный округ, 121099, Россия"
POINT (37.5954206 55.7694996),"Триумфальная площадь, Тверской район, Москва, Центральный федеральный округ, 123001, Россия"
POINT (37.6152868 55.7834989),"улица Советской Армии, Мещанский район, Москва, Центральный федеральный округ, 127030, Россия"
POINT (37.6716226 55.8604969),"Радужная улица, Бабушкинский район, Москва, Центральный федеральный округ, 129344, Россия"
POINT (37.665018 55.7383423),"Тихий тупик, Таганский район, Москва, Центральный федеральный округ, 109147, Россия"
POINT (37.5955822 55.786611),"Тихвинский переулок, Тверской район, Москва, Центральный федеральный округ, 127055, Россия"
POINT (37.6624084 55.8158745),"Рижский проезд, Алексеевский район, Москва, Центральный федеральный округ, 129626, Россия"
POINT (37.7472071 55.6850886),"Тихая улица, район Люблино, Москва, Центральный федеральный округ, 109387, Россия"
POINT (37.3903448 55.6323274),"Родниковая улица, район Солнцево, Москва, Центральный федеральный округ, 119297, Россия"
POINT (37.484163 55.8446068),"Пулковская улица, Головинский район, Москва, Центральный федеральный округ, 125565, Россия"
POINT (37.5515613 55.8337184),"Тимирязевский проезд, Тимирязевский район, Москва, Центральный федеральный округ, 127550, Россия"
POINT (37.6520388 55.7455338),"Тетеринский переулок, Таганский район, Москва, Центральный федеральный округ, 109004, Россия"
POINT (37.5373837 55.7459619),"Тестовская улица, Пресненский район, Москва, Центральный федеральный округ, 123317, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6579029 55.8361633),"Ростокинская улица, Ростокино, Москва, район Ростокино, Москва, Центральный федеральный округ, 129128, Россия"
POINT (37.6491271 55.7505651),"Тессинский переулок, Таганский район, Москва, Центральный федеральный округ, 109028, Россия"
POINT (37.6368633 55.8599798),"Тенистый проезд, Свиблово, район Свиблово, Москва, Центральный федеральный округ, 129329, Россия"
POINT (37.6942912 55.772457),"Рубцов переулок, Басманный район, Москва, Центральный федеральный округ, 105082, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.7049309 55.7934511),"Русаковская набережная, Сокольники, Москва, район Сокольники, Москва, Центральный федеральный округ, 107076, Россия"
POINT (37.5563987 55.7913391),"Театральная аллея, район Аэропорт, Москва, Центральный федеральный округ, 125167, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.6016038 55.6759372),"улица Ремизова, район Котловка, Москва, Центральный федеральный округ, 117186, Россия"
POINT (37.4541097 55.7960515),"улица Рогова, район Щукино, Москва, Центральный федеральный округ, 123103, Россия"
POINT (37.5861218 55.7323566),"Пуговишников переулок, 540, район Хамовники, Москва, Центральный федеральный округ, 115127, Россия"
POINT (37.6740543 55.6163107),"Прохладная улица, район Бирюлёво Восточное, Москва, Центральный федеральный округ, 115516, Россия"
POINT (37.6536981 55.7555067),"Подсосенский переулок, Басманный район, Москва, Центральный федеральный округ, 105062, Россия"
POINT (37.613682 55.7188047),"Хавская улица, Донской район, Москва, Центральный федеральный округ, 115162, Россия"
POINT (37.6025207 55.7411845),"Пожарский переулок, 33, район Хамовники, Москва, Центральный федеральный округ, 119034, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6151933 55.6596649),"Фруктовая улица, Нагорный район, Москва, Центральный федеральный округ, 117638, Россия"
POINT (37.6353265 55.7655323),"Фролов переулок, Красносельский район, Москва, Центральный федеральный округ, 101000, Россия"
POINT (37.5741586 55.7921687),"Полтавская улица, Савёловский район, Москва, Центральный федеральный округ, 127220, Россия"
POINT (37.598259 55.7487532),"Филипповский переулок, 35, район Арбат, Москва, Центральный федеральный округ, 119019, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6969298 55.783074),"Попов проезд, Сокольники, Москва, район Сокольники, Москва, Центральный федеральный округ, 107014, Россия"
POINT (37.5526618 55.7451376),"улица Раевского, район Дорогомилово, Москва, Центральный федеральный округ, 121151, Россия"
POINT (37.6816893 55.7701225),"Посланников переулок, Басманный район, Москва, Центральный федеральный округ, 105005, Россия"
POINT (37.4417003 55.7252208),"улица Ращупкина, Можайский, Москва, Можайский район, Москва, Центральный федеральный округ, 121374, Россия"
POINT (37.5798423 55.5634172),"Феодосийская улица, 7-й микрорайон, район Северное Бутово, Москва, Центральный федеральный округ, 117216, Россия"
POINT (37.5181371 55.833398),"Фармацевтический проезд, Коптево, Москва, район Коптево, Москва, Центральный федеральный округ, 125239, Россия"
POINT (37.5364544 55.8870007),"Учинская улица, 18-й микрорайон Дегунина, Дмитровский, Москва, Дмитровский район, Москва, Центральный федеральный округ, 127411, Россия"
POINT (37.7911777 55.7477807),"Утренняя улица, район Новогиреево, Москва, Центральный федеральный округ, 111394, Россия"
POINT (37.6089973 55.7693589),"Успенский переулок, Тверской район, Москва, Центральный федеральный округ, 127006, Россия"
POINT (37.4804552 55.879873),"Прибрежный проезд, район Ховрино, Москва, Центральный федеральный округ, 125475, Россия"
POINT (37.6617605 55.8522394),"Уржумская улица, Свиблово, район Свиблово, Москва, Центральный федеральный округ, 129343, Россия"
POINT (37.5192742 55.7604701),"Причальный проезд, Шелепиха, Пресненский район, Москва, Центральный федеральный округ, 123290, Россия"
POINT (37.3796603 55.6400058),"Производственная улица, район Солнцево, Москва, Центральный федеральный округ, 119619, Россия"
POINT (37.8361901 55.7599146),"Прокатная улица, район Ивановское, Москва, Центральный федеральный округ, 111578, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.5815869 55.7503672),"Проточный переулок, район Арбат, Москва, Центральный федеральный округ, 121099, Россия"
POINT (37.7008781 55.8693805),"Федоскинская улица, Ярославский район, Москва, Центральный федеральный округ, 129337, Россия"
POINT (37.7088039 55.6484923),"Подольская улица, район Марьино, Москва, Центральный федеральный округ, 109651, Россия"
POINT (37.7003019 55.8818378),"Таёжная улица, Лосиноостровский район, Москва, Центральный федеральный округ, 129336, Россия"
POINT (37.8592324 55.684982),"Тарханская улица, 5-й микрорайон Жулебино, район Выхино-Жулебино, Москва, Центральный федеральный округ, 109156, Россия"
POINT (37.3580262 55.8310396),"улица Рословка, район Митино, Москва, Центральный федеральный округ, 125222, Россия"
POINT (37.59445 55.7567031),"Столовый переулок, 47, Пресненский район, Москва, Центральный федеральный округ, 121069, Россия"
